City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oruro,-17.9833,-67.15,62.51000000000008,12,0,2.13,BO,2023-04-22 13:06:42
1,kharkhorin,47.1975,102.8238,28.220000000000063,28,4,1.79,MN,2023-04-22 13:06:43
2,acapulco de juarez,16.8634,-99.8901,85.82000000000006,66,75,3.09,MX,2023-04-22 13:06:33
3,cambria,35.5641,-121.0808,74.4260000000001,65,98,3.43,US,2023-04-22 13:06:43
4,cacequi,-29.8836,-54.825,79.46600000000001,32,90,2.37,BR,2023-04-22 13:03:05
5,albany,42.6001,-73.9662,66.88399999999999,63,100,2.24,US,2023-04-22 13:00:08
6,waitangi,-43.9535,-176.5597,51.81800000000008,96,78,9.6,NZ,2023-04-22 13:06:44
7,sangmelima,2.9333,11.9833,70.16000000000008,98,92,1.42,CM,2023-04-22 13:06:44
8,papatowai,-46.5619,169.4708,53.11400000000003,87,91,3.59,NZ,2023-04-22 13:06:44
9,murzuq,25.9155,13.9184,86.0,10,5,5.55,LY,2023-04-22 13:06:45
10,mejit,10.2753,170.8646,81.14000000000001,76,41,8.61,MH,2023-04-22 13:06:45
11,sosnovo-ozerskoye,52.5249,111.5418,17.222000000000037,59,19,1.55,RU,2023-04-22 13:06:45
12,queenstown,-31.8976,26.8753,58.49600000000005,26,100,4.99,ZA,2023-04-22 13:06:45
13,port-aux-francais,-49.35,70.2167,46.07600000000009,94,100,16.63,TF,2023-04-22 13:06:46
14,avarua,-21.2078,-159.775,75.25400000000005,78,40,2.57,CK,2023-04-22 13:06:46
15,klyuchi,52.2667,79.1667,33.74600000000005,79,29,3.79,RU,2023-04-22 13:06:46
16,adamstown,-25.066,-130.1015,77.32400000000001,86,100,9.32,PN,2023-04-22 13:06:47
17,tralee,52.2704,-9.7026,48.45200000000008,87,100,1.54,IE,2023-04-22 13:01:53
18,bethel,41.3712,-73.414,67.64000000000001,75,75,6.17,US,2023-04-22 13:06:47
19,tiksi,71.6872,128.8694,2.4980000000000224,98,24,2.49,RU,2023-04-22 13:06:47
20,margaret river,-33.95,115.0667,61.03399999999999,51,1,2.36,AU,2023-04-22 13:06:47
21,jagannathpur,22.2333,85.65,78.47600000000008,44,100,3.31,IN,2023-04-22 13:06:48
22,jimeta,9.2833,12.4667,96.06200000000005,25,83,2.26,NG,2023-04-22 13:06:48
23,howrah,22.5892,88.3103,84.2,48,75,5.66,IN,2023-04-22 13:06:48
24,vorgashor,67.5833,63.95,27.446000000000048,94,99,5.69,RU,2023-04-22 13:06:48
25,yellowknife,62.456,-114.3525,41.55800000000001,52,100,5.81,CA,2023-04-22 13:06:42
26,podgorenskiy,50.405,39.6429,45.08600000000007,93,100,2.0,RU,2023-04-22 13:06:49
27,juneau,58.3019,-134.4197,44.42000000000006,95,100,1.28,US,2023-04-22 13:02:11
28,puerto ayora,-0.7393,-90.3518,85.96400000000003,88,73,4.92,EC,2023-04-22 13:06:22
29,grytviken,-54.2811,-36.5092,34.43000000000004,78,48,10.99,GS,2023-04-22 13:06:49
30,enewetak,11.3474,162.3373,79.17800000000007,86,100,8.47,MH,2023-04-22 13:06:50
31,aykhal,66.0,111.5,14.666000000000007,94,100,3.38,RU,2023-04-22 13:06:50
32,soto la marina,23.7667,-98.2167,88.01600000000002,51,78,3.93,MX,2023-04-22 13:06:50
33,suva,-18.1416,178.4415,71.07800000000006,94,40,1.03,FJ,2023-04-22 13:00:58
34,balnearia,-31.0088,-62.6673,76.91000000000008,30,100,2.22,AR,2023-04-22 13:06:51
35,kodiak,57.79,-152.4072,49.51400000000004,32,0,4.63,US,2023-04-22 13:06:51
36,misratah,32.3754,15.0925,63.64400000000008,84,0,9.62,LY,2023-04-22 13:06:51
37,alnwick,55.4132,-1.7056,47.67800000000007,93,75,2.57,GB,2023-04-22 13:06:51
38,hawaiian paradise park,19.5933,-154.9731,75.03800000000004,91,40,2.57,US,2023-04-22 13:06:52
39,sarangani,5.4033,125.4636,83.2100000000001,75,61,3.8,PH,2023-04-22 13:06:52
40,sawakin,19.1059,37.3321,81.12200000000004,78,0,1.4,SD,2023-04-22 13:06:52
41,chakradharpur,22.7,85.6333,79.21400000000003,42,100,3.15,IN,2023-04-22 13:06:52
42,kushiro,42.975,144.3747,35.51000000000008,77,13,3.69,JP,2023-04-22 13:06:53
43,blackmans bay,-43.0167,147.3167,53.72600000000009,66,50,4.83,AU,2023-04-22 13:06:53
44,stanley,54.868,-1.6985,50.792,94,100,1.03,GB,2023-04-22 13:06:53
45,areia branca,-4.9561,-37.1369,95.19800000000004,52,9,6.9,BR,2023-04-22 13:01:59
46,whitehorse,60.7161,-135.0538,35.312000000000054,59,79,4.02,CA,2023-04-22 13:06:53
47,kingston,17.997,-76.7936,88.25,62,4,1.79,JM,2023-04-22 13:06:54
48,st. john's,47.5649,-52.7093,39.668000000000085,97,100,12.07,CA,2023-04-22 13:02:19
49,badger,64.8,-147.5333,25.52000000000006,56,75,10.8,US,2023-04-22 13:06:54
50,santa cruz,-17.8,-63.1667,83.04800000000003,49,0,2.02,BO,2023-04-22 13:06:54
51,la'ie,21.6477,-157.9253,78.76400000000004,81,20,5.93,US,2023-04-22 13:06:55
52,luganville,-15.5333,167.1667,79.44800000000004,83,96,3.1,VU,2023-04-22 13:06:55
53,san angelo,31.4638,-100.437,83.94800000000004,44,20,6.17,US,2023-04-22 13:04:03
54,nogliki,51.8333,143.1667,29.60600000000003,91,100,7.24,RU,2023-04-22 13:06:55
55,puerto natales,-51.7236,-72.4875,59.45,44,75,10.29,CL,2023-04-22 13:03:06
56,basoko,1.2391,23.616,71.816,88,100,1.21,CD,2023-04-22 13:06:56
57,bloomfield,40.8068,-74.1854,72.98600000000008,70,100,6.17,US,2023-04-22 13:02:39
